question_id,question_title,answer,answer.1,answer.2,answer.3,region,topic,difficulty
1,Who is the current President of India (as of 2024)?,Droupadi Murmu,Ram Nath Kovind,Pranab Mukherjee,A.P.J. Abdul Kalam,India,Politics;History;,Easy
2,Which Indian Prime Minister signed the Indo-US Nuclear Deal?,Manmohan Singh,Narendra Modi,Atal Bihari Vajpayee,Rajiv Gandhi,India,Politics;History;,Hard
3,What is the Article 370 known for?,Special status to Jammu & Kashmir,Reservation in education,Emergency powers,Fundamental rights,India,Politics;,Medium
4,Who was the first Prime Minister of India to resign from office?,Morarji Desai,Indira Gandhi,Lal Bahadur Shastri,P.V. Narasimha Rao,India,Politics;History;,Hard
5,Which party is known as the oldest political party in India?,Indian National Congress,Bharatiya Janata Party,Communist Party of India,Nationalist Congress Party,India,Politics;History;,Easy
6,Who was the first Speaker of the Lok Sabha?,Ganesh Vasudev Mavalankar,Sarvepalli Radhakrishnan,K.S. Hegde,Sumitra Mahajan,India,Politics;History;,Hard
7,What is the maximum strength of the Lok Sabha?,552,500,545,560,India,Politics;,Easy
8,"Which Indian political leader initiated the ""Green Revolution""?",Lal Bahadur Shastri,Indira Gandhi,P.V. Narasimha Rao,Rajiv Gandhi,India,Politics;History;,Medium
9,Who was the first Governor-General of independent India?,Lord Mountbatten,C. Rajagopalachari,Warren Hastings,Lord Wavell,India,Politics;History;,Easy
10,Which Indian state was the first to implement the Panchayati Raj system?,Rajasthan,Bihar,Uttar Pradesh,Kerala,India,Politics;History;,Hard
11,Who is known as the 'Iron Lady of India'?,Indira Gandhi,Sarojini Naidu,Sucheta Kriplani,Pratibha Patil,India,Politics;History;,Medium
12,Who is the current Chief Minister of Maharashtra (as of 2024)?,Eknath Shinde,Uddhav Thackeray,Devendra Fadnavis,Ashok Chavan,India,Politics;,Hard
13,Which article of the Indian Constitution deals with the protection of minorities?,Article 29,Article 15,Article 19,Article 25,India,Politics;History;,Hard
14,Who was the first woman to serve as the Chief Minister of an Indian state?,Sucheta Kriplani,Jayalalithaa,Mamata Banerjee,Vasundhara Raje,India,Politics;History;,Hard
15,What does the term 'Franchise' refer to in Indian politics?,The right to vote,Forming a government,Joining a political party,Protesting policies,India,Politics;History;,Hard
